"Labor","Nivel","AnchoPro","AltoPro","Empresa","Tipo","Fecha","Guardia","AnchoReal","AltoReal","CumplimientoRecomendacion","NivelRiesgo","Condicion","Recomendacion","Sostenimiento","GSI","PorcentajeTabla","TipoSostenimiento","Responsable","Operaciones","Seguridad","Geomecanico","Registro","ProcesoMinado","SostenimientoTope","HastialDerecho","HastialIzquierdo","MallasTraslapadas","MallasRotas"
"Cro 910 N",3300,4.5,4,"IESA SA","EXPLOTACION","""2015-11-17T00:00:00.000Z""","DIA",4.05,4.05,true,"CRITICO","null","FALTA SOSTENER EL ULTIMO DISPARO, CORTAR MALLAS SUSPENDIDAS, SE RECOMIENDA REALIZAR VOLADURA CONTROLADA.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.00","1.00","Si","Si"
"CRO 732",3420,4.5,4,"COPSEM","AVANCE","""2015-11-18T00:00:00.000Z""","DIA",4.1,4.1,true,"CRITICO","null","SE OBSERVA MALLAS CARGADAS AL INGRESO DE LA LABOR A 5 MTS DEL INGRESO. SE LEVANTO LA OBSERVACION, QUEDANDO PENDIENTE EL RESANE. LA ROCA ES MUY FRACTURADA EN LOS PRIMEROS TRAMOS DE INGRESO Y HACIA EL EL TOPE LA ROCA ES DE MEDIANA RESISTENCIA. ",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.40","1.30","Si","Si"
"Cro 910 N",3300,4.5,4,"IESA SA","EXPLOTACION","""2015-11-19T00:00:00.000Z""","DIA",4.1,4.1,true,"CRITICO","null","PRESENCIA DE ESPACIOS ABIERTOS DE MALLA, MALLAS SUSPENDIDAS, SE RECOMIENDA REALIZAR REFUERZO DE ESPACIOS ABIERTOS DE MALLA, CORTAR MALLAS SUSPENDIDAS, SOSTENER EL ULTIMO DISPARO.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.10","1.10","Si","No"
"CRO 314",4154,4,4,"COPSEM","EXPLOTACION","""2015-11-20T00:00:00.000Z""","DIA",4.2,4.2,true,"BAJO","null","SE COLOCO MALLA DE SACRIFICIO EN EL FRENTE Y SE LEVANTO ALGUNAS OBSERVACIONES QUE SE TENIA. SE RECOMIENDA SEGUIR MEJORANDO LA PERFORACION Y VOLADURA. MAYOR CONTROL",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.65","1.50","Si","No"
"Rpa 859 N",3300,4,4,"IESA SA","EXPLOTACION","""2015-11-20T00:00:00.000Z""","DIA",4.08,4.08,true,"MEDIO","null","PRESENCIA DE BANCOS SUELTOS SOBRE LA MALLA, SE RECOMIENDA DESATED E LOS BANCOS SUELTOS, RESANE DE MALLAS ROTAS.",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.31","1.40","Si","No"
"RPA 7854",3420,4.5,4,"COPSEM","EXPLOTACION","""2015-11-21T00:00:00.000Z""","DIA",4.5,4.5,true,"CRITICO","null","SE OBSERVA MALLAS CARGADAS A LOS HASTIALES, MALLAS ROTAS. SE RECOMIENDA DESCARGAR MALLAS Y RESANAR/REFORZAR MALLAS QUE FALTAN.",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","Si","1.20","1.30","Si","Si"
"Rpa 910 S",3300,4.5,4,"IESA SA","AVANCE","""2015-11-21T00:00:00.000Z""","DIA",5.02,5.02,true,"CRITICO","null","SE RECOMIENDA DESATE MECANIZADO, MAS SOSTENIMIENTO AL TOPE CON PERNO HELICOIDAL, SHOT CRETE DE 2"" (e).",true,"IF/R",0,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.36","1.22","Si","Si"
"STP 765 S",3300,4,5,"IESA SA","EXPLOTACION","""2015-11-22T00:00:00.000Z""","DIA",4.5,4.5,true,"MEDIO","null","SE RECOMIENDA COMPLETAR SOSTENIMIENTO AL TOPE, COMPLETAR RESANE DE LAS MALLAS ROTAS.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.55","1.52","Si","Si"
"CRO 404 W",4050,4,4,"COPSEM","AVANCE","""2015-11-24T00:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","SE OBSERVA MALLAS CARGADAS A 25 METROS DEL TOPE, EN LA CORONA. SE ESTA CONTROLANDO Y CORRIGIENDO LA ALTURA DE SOSTENIMIENTO Y EL ESPACIAMIENTO ENTRE SS. ADEMAS DE LA APLICACION DE MINI SPLIT SETS EN EL TRASLAPE",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.40","1.40","Si","No"
"STP 995",3600,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-11-24T00:00:00.000Z""","DIA",5.3,5.3,true,"CRITICO","null","Acceso lado izquierdo hacia la intersección se debe completar sostenimiento en todo el hastial, hacia el frente se tiene el sobredimensionamiento de la labor entraran al lado izquierdo, se evidencia falta de control en la voladura teniendo la presencia de macizo rocoso relajado. hacia el lado derecho se iniciara el relleno de la labor. ",true,"MF/P",3,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","2.00","1.80","Si","Si"
"STP 756",3300,4,4,"MCEISA","EXPLOTACION","""2015-11-26T00:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","SE OBSERVA MALLAS CARGADAS A LOS HASTIALES. SE RECOMIENDA EL DESCARGADO DE MALLAY INTERMEDIAR CON SPLIT SET.",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.5","1.8","Si","Si"
"CRO 735",3300,4.5,4,"MCEISA","AVANCE","""2015-11-27T00:00:00.000Z""","DIA",4.5,4.5,true,"CRITICO","null","A 150 METROS SE REALZO LA LABOR, SE HIZO DESATADO CON SCAYLER Y ESTA EN PROCESO DE SOSTENIMIENTO, SE RECOMIENDA COMPLETAR EL SOSTENIMIENTO Y COORDINAR EL LANZADO DE SHOCRETE",true,"MF/P",3,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.5","1.5","Si","No"
"STP 369 PISO 12",4050,4,5,"COPSEM","EXPLOTACION","""2015-11-27T00:00:00.000Z""","DIA",4.5,4.5,true,"CRITICO","null","SE OBSERVA QUE LA LABOR COMUNICADO CON LABOREO ANTIGUO. REQUIERE UNA EVALUACION DE GEOMECANICA Y OPERACIONES POR ALTURA DE CAIDA LIBRE. PUEDE CEDER EL PISO DE ESTA VIA. RECOMIENDO HACER UN BYPASS. SE ESTA TOMANDO EN CUENTA LA RECOMENDACION DE SEGURIDAD",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.2","1.4","Si","No"
"STP 996-S/N",3540,4,4,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-11-27T00:00:00.000Z""","DIA",4.3,4.3,true,"CRITICO","null","No se coloca la malla de sacrificio por falta de herramientas y barra de perforación para el J-8 Y EL CISSOR. SE TIENEN SE TIENE MALLA COLGADAS POR FALTA DE ADHERENCIA CON SPLIT SET",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1..6","1.7","No","Si"
"GAL 624",3300,4,4,"MCEISA","AVANCE","""2015-11-28T00:00:00.000Z""","DIA",4.3,4.3,true,"CRITICO","null","LA LABOR SE ENCONTRO CON CARGA, FALTA COMPLETAR LIMPIEZA Y HACER SOSTENIMIENTO AL TOPE. LA LABOR ESTA PARALIZADA POR FALAT DE AREA PARA LA LIMPIEZA DE DESMONTE.",true,"MF/R",6,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1..5","1.5","Si","Si"
"STP 440 W",2890,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-11-28T00:00:00.000Z""","DIA",5.7,5.7,true,"CRITICO","null","Formación de bloques entre corona y hastial izquierdo, se tiene malla cargada desde el inicio de la bancada, en la intersección e ingreso (badén inundado) se tiene bloque abierto al lado izquierdo",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.8","1.7","Si","Si"
"STP 896 S",2960,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-11-28T00:00:00.000Z""","DIA",5.12,5.12,true,"MEDIO","null","Formación de bloques entre corona y hastial izquierdo, se tiene malla cargada desde el inicio de la bancada, en la intersección e ingreso (badén inundado) se tiene bloque abierto al lado izquierdo",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","Si","1.55","1.8","Si","No"
"STP 896 S",2960,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-11-30T00:00:00.000Z""","DIA",5,5,true,"MEDIO","null","Se viene realizando sircado, sección controlada, tramos de malla remangada por los disparos, ligero goteo de agua en corona.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.8","1.71","Si","No"
"STP. 160 Vs",2890,4,4.5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-12-01T00:00:00.000Z""","DIA",4.9,4.9,true,"CRITICO","null","Roca muy fracturada regular, boques abiertos en la intersección, cuñas en corona, malla sobrecargadas, rota y superficies abiertas.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.70","1.60","Si","Si"
"stp 369 - piso 15 - sn",4050,4,4,"COPSEM","EXPLOTACION","""2015-12-03T00:00:00.000Z""","DIA",4.15,4.15,true,"MEDIO","null","SE OBSERVA MALLAS CARGADAS A 6 MTS DEL TOPE Y MALLAS ROTAS A LOS HASTIALES A 7 MTS DEL TOPE. SE RECOMIENDA DESCARGAR MALLAS.",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.15","1.10","Si","Si"
"Stp 116",2890,4,5,"CIA MINERA ATACOCHA","AVANCE","""2015-12-04T00:00:00.000Z""","DIA",5,5,true,"MEDIO","null","el acceso esta inindado, por el piso inferior se realizara desquinches en retirada  y se rellanara ",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.70","1.50","Si","No"
"Cro 544 E",3300,4.5,4,"IESA SA","EXPLOTACION","""2015-12-04T00:00:00.000Z""","DIA",4.11,4.11,true,"CRITICO","null","SE RECOMIENDA COMPLETRA SOSTENIMIENTO AL TOPE, AJUSTAR LAS TUERCAS EN AVANZADA.",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.53","1.72","Si","No"
"Rpa 816 N",3300,4,4,"MCEISA","EXPLOTACION","""2015-12-05T00:00:00.000Z""","DIA",4.16,4.16,true,"MEDIO","null","SE RECOMIENDA REALIZAR VOLADURA CONTROLADA, MANTENER LA SECCION SEGUN PLANEAMIENTO.",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.07","1.10","Si","Si"
"Gal 602 E",3300,4,4,"MCEISA","EXPLOTACION","""2015-12-06T00:00:00.000Z""","DIA",4.13,4.13,true,"CRITICO","null","SE RECOMIENDA NO REALIZAR NINGUN DISPARO HASTA HABILITAR TODO EL TRAMO, CORTAS SPLIT SET SOBRESALIDOS, MALLAS CARGADOS DE BANCOS SUELTOS.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.26","1.34","Si","Si"
"RPA 389 (-)",4050,4,4,"COPSEM","AVANCE","""2015-12-06T00:00:00.000Z""","DIA",4.3,4.3,true,"MEDIO","null","SE OBSERVA MALLAS CARGADAS Y MALLAS ROTAS. SE HA DESCARGADO LAS MALLAS CARGADAS, SE REFORZO EL SOSTENIMIENTO Y CONTINUAR EN LA GUARDIA NOCHE. SE ESTA REALIZANDO VOLADURA CONTROLADA.",true,"F/R",9,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.55","1.45","Si","Si"
"CRO 756",3420,4,4,"COPSEM","AVANCE","""2015-12-06T00:00:00.000Z""","DIA",4.2,4.2,true,"MEDIO","null","FALTA SOSTENIMIENTO DEL ULTIMO DISPARO Y FALTA BARRETILLAS DE 8. MEJORAR ALTURA DE SOSTENIMIENTO A 1.50 DEL PISO",true,"F/R",9,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.47","1.55","Si","Si"
"STP 154 N",3600,4,5,"COPSEM","EXPLOTACION","""2015-12-06T00:00:00.000Z""","DIA",4.15,4.15,true,"CRITICO","null","EXISTE MALLAS CARGADAS DEL TOPE A 7 MTS Y DESATAR EL HASTIAL IZQUIERDO. REALIZAR DESATE DE ROCAS CONSTANTEMENTE",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.50","1.45","Si","No"
"STP 154 S",3600,4,5,"COPSEM","EXPLOTACION","""2015-12-07T00:00:00.000Z""","DIA",4.35,4.35,true,"CRITICO","null","Descargar malla sobrecargadas de la labor, controlar la perforacion y voladura",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","Si","1.5","1.6","Si","No"
"RPA 403",4154,4,4,"COPSEM","AVANCE","""2015-12-07T00:00:00.000Z""","DIA",4.25,4.25,true,"MEDIO","null","Falta reforzar mallas por el descargue de malla que se realizo, continuar con el resane y descargue de malla. Se realiza voladura controlada.",true,"F/R",9,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.48","1.5","Si","Si"
"Gal 602 ",3300,4,4,"MCEISA","EXPLOTACION","""2015-12-07T00:00:00.000Z""","DIA",4.11,4.11,true,"CRITICO","null","SE RECOMIENDA COMPLETAR RESANE DE MALLAS ROTAS, COMPLETAR SOSTENIMIENTO AL TOPE.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","No","1.37","1.24","Si","No"
"Stp 175",2890,4,5,"CIA MINERA ATACOCHA","AVANCE","""2015-12-08T00:00:00.000Z""","DIA",5,5,true,"CRITICO","null","completar el sostenimiento del ultimo disparo, el avance se realizara con control estructural pegados a la falla del hastila izquierdo ",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","2,00","1,70","Si","Si"
"Stp 160 S",2890,4,4,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-12-08T00:00:00.000Z""","DIA",5.5,5.5,true,"CRITICO","null","falta completar el sostenimiento del ultimo disparo ",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.50","1.50","Si","No"
"STP 154 S",3600,4,5,"COPSEM","EXPLOTACION","""2015-12-08T00:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","Mejorar distribucion de elementos de sostenimiento a 1.20 x 1.20",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.40","1.45","Si","No"
"Rpa 859 N",3300,4,4,"IESA SA","EXPLOTACION","""2015-12-08T00:00:00.000Z""","DIA",4.1,4.1,true,"BAJO","null","SE RECOMIENDA CONTINUAR CON LA VOLADURA PARA EVITAR LA SOBRE ROTURA EN EL TECHO Y HASTIALES.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.50","1.43","Si","No"
"Gal 624 W",3300,4,4,"IESA SA","EXPLOTACION","""2015-12-09T00:00:00.000Z""","DIA",4.05,4.05,true,"BAJO","null","PRESENCIA DE ROCAS SUELTAS SOBRECARGADAS EN LA MALLA SE RECOMIENDA DESATE DE ROCAS SUELTAS Y CONTINUAR CON LA VOLADURA CONTROLADA.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","Si","1.20","1.10","Si","No"
"CRO 350",4154,4,4,"COPSEM","AVANCE","""2015-12-09T00:00:00.000Z""","DIA",4.15,4.15,true,"CRITICO","null","SE OBSERVA MALLAS CARGADAS A 7 Y 9 MTS DEL TOPE AL HASTIAL DERECHO Y AL HASTIAL IZQUIERDO MALLAS ROTAS. SE REALIZO DESCARGUE DE MALLA.",true,"F/R",9,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.5","1.45","Si","Si"
"Cx 544 E",3300,4.5,4,"MCEISA","AVANCE","""2015-12-10T00:00:00.000Z""","DIA",4.1,4.1,true,"CRITICO","null","PRESENCIA DE MALLAS REMANGADAS PRODUCTO DE LA VOLADURA, SE RECOMIENDA REALIZAR VOLADURA CONTROLADA PARA NO REMANGAR MALLA DE SOSTENIMIENTO.",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.10","1.20","Si","No"
"Stp. 154 S",3600,4,4,"COPSEM","EXPLOTACION","""2015-12-11T00:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.50","1.50","Si","No"
"Rpa. 782",3600,4,4,"COPSEM","EXPLOTACION","""2015-12-11T00:00:00.000Z""","DIA",4.3,4.3,true,"CRITICO","null","SE HA REALIZADO EL SOSTENIMIENTO, CONTINUAR CON EL RESANE DE SOSTENIMIENTO",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.50","1.50","Si","Si"
"Rpa: 7854",3420,4.5,4,"COPSEM","EXPLOTACION","""2015-12-11T00:00:00.000Z""","DIA",4.2,4.2,true,"MEDIO","null","SE HA REFORZADO EL SOSTENIMIENTO EN 2 TRAMOS A 20 METROS DEL TOPE, FALTA DESCARGUE DE MALLAS CARGADAS Y SE REALIZA VOLADURA CONTROLADA.",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.45","1.40","Si","Si"
"Cro 857 N",3300,4,4,"MCEISA","EXPLOTACION","""2015-12-11T00:00:00.000Z""","DIA",4.1,4.1,true,"BAJO","null","SE  RECOMIENDA REALIZAR VOLADURA CONTROLADA PARA NO REMANGAR MALLA DE SOSTENIMINETO , REALIZAR DESATE DE ROCAS SUELTAS.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.10","1.20","Si","No"
"Rpa 815 S (+)",3300,4,4,"MCEISA","EXPLOTACION","""2015-12-12T00:00:00.000Z""","DIA",4,4,true,"BAJO","null","SE RECOMIENDA REALIZAR VOLADURA CONTROLADA PARA NO REMANGAR MALLA DE SOSTENIMIENTO.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.20","1.10","Si","No"
"Stp. 441",2940,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-12-12T00:00:00.000Z""","DIA",5.2,5.2,true,"MEDIO","null","Formación de cuñas en corona, roca relajada por la voladura,  tramos de malla dañada y con fragmentos de roca.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.50","1.50","Si","No"
"Stp. 369-Piso 12",4050,4,5,"COPSEM","EXPLOTACION","""2015-12-12T00:00:00.000Z""","DIA",5.2,5.2,true,"MEDIO","null","REFORZAR EL SOSTENIMIENTO EN LAS ZONAS QUE EVIDENCIA MALLAS ROTAS",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.50","1.50","Si","Si"
"Stp. 160 S",2890,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-12-12T00:00:00.000Z""","DIA",5,5,true,"CRITICO","null","Rocas sueltas en corona y hastiales producto de la voladura, tramos de malla dañadas, se tiene malla sobrecargada entre el lado derecho y la corona",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.60","1.70","Si","Si"
"857 N",3300,4,4,"MCEISA","AVANCE","""2015-12-13T00:00:00.000Z""","DIA",4.1,4.1,true,"CRITICO","null","SE  RECOMIENDA REALIZAR DESTE DE BANCOS SUELTOS Y RESANE DE MALLAS ROTAS.",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.30","1.20","Si","Si"
"SN 154 N",3600,4,4,"COPSEM","EXPLOTACION","""2015-12-16T00:00:00.000Z""","DIA",4.25,4.25,true,"CRITICO","null","REALIZAR VOLADURA CONTROLADA USO DE LAS CAÑAS EN LA CORONA_x000D_\n",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.5","1.45","Si","No"
"RPA 403",4154,4,4,"COPSEM","AVANCE","""2015-12-16T00:00:00.000Z""","DIA",4.2,4.2,true,"MEDIO","null","COLOCAR MALLA DE SACRIFICIO EN EL FRENTE A DISPARAR_x000D_\n",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.4","1.45","Si","No"
"Rpa (-) 815 S",3300,4,4,"MCEISA","EXPLOTACION","""2015-12-17T00:00:00.000Z""","DIA",3.8,3.8,true,"CRITICO","null","SE OBSERVA SOBRE ROTURA DEL ANCHO DE LA LABOR SE RECOMIENDA REDUCIR LA SECCION, REALIZAR VOLADURA CONTROLADA PARA MANTENER LA SECION PROGRAMADA._x000D_\n",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.00","1.00","Si","Si"
"CX 761",3420,4,4,"COPSEM","EXPLOTACION","""2015-12-17T00:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","MEJORAR ALTURA DE SOSTENIMIENTO 1.5 DEL PISO_x000D_\n",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.4","1.55","Si","No"
"RPA 403",4154,4,4,"COPSEM","AVANCE","""2015-12-17T00:00:00.000Z""","DIA",4.2,4.2,true,"BAJO","null","MEJORAR LA DISTRIBUCION DE ELEMENTOS DE SOTENIMIENTO _x000D_\n",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.45","1.4","Si","No"
"RPA 7854",3420,4.5,4,"COPSEM","EXPLOTACION","""2015-12-19T00:00:00.000Z""","DIA",4.25,4.25,true,"CRITICO","null","REALIZAR VOLADURA CONTROLADA Y COLOCAR MALLA DE SACRIFICIO EN EL FRENTE DISPARAR Y USAR CAÑAS EN LA CORONA FALTA SOSTENIMIENTO DEL ULTIMO DISPARO",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","No","1.40","1.45","Si","Si"
"Rpa(+)815 S",3300,4,4,"MCEISA","EXPLOTACION","""2015-12-20T00:00:00.000Z""","DIA",4.05,4.05,true,"MEDIO","null","SE RECOMIENDA REALIZAR DE4SATE DE ROCAS SUELTAS, CONTINUAR CON LA VOLADURA CONTROLADA PARA MANTENER LA SECCION PROGRAMADA.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.00","1.10","Si","Si"
"S/N 154S",3600,4,4,"COPSEM","EXPLOTACION","""2015-12-21T00:00:00.000Z""","DIA",4.2,4.2,true,"MEDIO","null","_x000D_\n.REALIZAR VOLADURA  CONTROLADA Y UTILIZAR CAÑAS EN LA CORONA.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.50","1.40","No","No"
"Stop 765 N",3300,4,5,"IESA SA","EXPLOTACION","""2015-12-21T00:00:00.000Z""","DIA",6,6,true,"CRITICO","null","SE EVIDENCIA SOBREROTURA,  FALTA REFORZAR SOSTENIMIENTO DE ESPACIOS ABIERTOS DE MALLA EN EL HASTIAL DERECHO , SE RECOMIENDA REDUCIR LA SECCION PARA EVITAR LA SOBREROTURA DE LA LABOR.",true,"MF/MP",0,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.20","1.00","Si","Si"
"Cro. 727",3420,4,4,"COPSEM","EXPLOTACION","""2015-12-22T00:00:00.000Z""","DIA",4.25,4.25,true,"CRITICO","null","COLOCAR MALLAS DE SACRIFICIO EN EL FRENTE A DISPARAR",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","No","1.50","1.45","Si","No"
"Rpa(-)815 S",3300,4,4,"MCEISA","EXPLOTACION","""2015-12-22T00:00:00.000Z""","DIA",3.8,3.8,true,"MEDIO","null","SE RECOMIENDA CONTINUAR CON LA VOLADURA CONTROLADA.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.00","1.00","Si","Si"
"Rpa(+)815 S",3300,4,4,"MCEISA","EXPLOTACION","""2015-12-22T00:00:00.000Z""","DIA",4.05,4.05,true,"CRITICO","null","SE RECOMIENDA REDUCIR LA SECCION DE LA LABOR PARA EVITAR LA SOBREROTURA",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.00","1.00","Si","Si"
